epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,0.0009890738003669028,1.3980438464659233,0.4509444444444444,1.0578833265304566,0.5845
2,0.0009567727288213003,1.0254965805124354,0.6096296296296296,0.9456050631205241,0.6386666666666667
3,0.0009045084971874737,0.890248304049174,0.6627222222222222,0.8196082255045573,0.6828333333333333
4,0.0008345653031794292,0.8182740733711807,0.6916666666666667,0.7608834527333578,0.7123333333333334
5,0.00075,0.7581324129634434,0.7164444444444444,0.7092593609491984,0.7325
6,0.0006545084971874737,0.7040175673343517,0.736462962962963,0.6749306483268738,0.7508333333333334
7,0.0005522642316338268,0.6633597920382465,0.7512407407407408,0.6489642426172892,0.76
8,0.0004477357683661734,0.6226350130681638,0.7657222222222222,0.6171526579856873,0.7738333333333334
9,0.0003454915028125264,0.5866486446415936,0.7821851851851852,0.6112163794835409,0.7795
10,0.0002500000000000001,0.5503539329634772,0.795,0.5794217427571614,0.7908333333333334
11,0.00016543469682057103,0.5233821347377918,0.8037777777777778,0.549691220442454,0.7988333333333333
12,9.549150281252631e-05,0.4946877608652468,0.8151296296296296,0.540957350730896,0.8006666666666666
13,4.322727117869951e-05,0.4704122879240248,0.8233703703703704,0.5250836138725281,0.8076666666666666
14,1.0926199633097156e-05,0.45347286984655594,0.8297222222222222,0.5332512729962667,0.8036666666666666
15,0.0,0.44639398731125723,0.8325925925925926,0.5257018864949544,0.8081666666666667
