epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,0.0009890738003669028,0.7697826167919017,0.701,0.5508886924584706,0.8001666666666667
2,0.0009567727288213003,0.4277520451987231,0.8397592592592592,0.35944386744499207,0.8685
3,0.0009045084971874737,0.3296083384266606,0.8786666666666667,0.31868174890677137,0.8768333333333334
4,0.0008345653031794292,0.2854621946061099,0.895074074074074,0.29990221655368804,0.8928333333333334
5,0.00075,0.2562879786712152,0.9066851851851851,0.2866281128327052,0.8935
6,0.0006545084971874737,0.2305107320635407,0.915037037037037,0.33195571649074557,0.8795
7,0.0005522642316338268,0.2073149034248458,0.9247037037037037,0.26035124242305757,0.904
8,0.0004477357683661734,0.18670892074373033,0.9305925925925926,0.23681662716468174,0.9158333333333334
9,0.0003454915028125264,0.1694082087620541,0.9362407407407407,0.24402698558568955,0.9156666666666666
10,0.0002500000000000001,0.15129005955987507,0.9443333333333334,0.2461400829553604,0.9156666666666666
11,0.00016543469682057103,0.13474332333935632,0.949962962962963,0.22950442091623943,0.9191666666666667
12,9.549150281252631e-05,0.12111246026886834,0.9562962962962963,0.2391198865075906,0.9198333333333333
13,4.322727117869951e-05,0.10916104330619177,0.9607407407407408,0.22815559826294582,0.9195
14,1.0926199633097156e-05,0.10166759735676978,0.9642037037037037,0.2187159066994985,0.9266666666666666
15,0.0,0.0962962987113882,0.9662037037037037,0.22245827206969263,0.9273333333333333
