config_id,train_mode,epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
cnn,A,1,0.0009890738003669028,0.7697826167919017,0.701,0.5508886924584706,0.8001666666666667
cnn,A,2,0.0009567727288213003,0.4277520451987231,0.8397592592592592,0.35944386744499207,0.8685
cnn,A,3,0.0009045084971874737,0.3296083384266606,0.8786666666666667,0.31868174890677137,0.8768333333333334
cnn,A,4,0.0008345653031794292,0.2854621946061099,0.895074074074074,0.29990221655368804,0.8928333333333334
cnn,A,5,0.00075,0.2562879786712152,0.9066851851851851,0.2866281128327052,0.8935
cnn,A,6,0.0006545084971874737,0.2305107320635407,0.915037037037037,0.33195571649074557,0.8795
cnn,A,7,0.0005522642316338268,0.2073149034248458,0.9247037037037037,0.26035124242305757,0.904
cnn,A,8,0.0004477357683661734,0.18670892074373033,0.9305925925925926,0.23681662716468174,0.9158333333333334
cnn,A,9,0.0003454915028125264,0.1694082087620541,0.9362407407407407,0.24402698558568955,0.9156666666666666
cnn,A,10,0.0002500000000000001,0.15129005955987507,0.9443333333333334,0.2461400829553604,0.9156666666666666
cnn,A,11,0.00016543469682057103,0.13474332333935632,0.949962962962963,0.22950442091623943,0.9191666666666667
cnn,A,12,9.549150281252631e-05,0.12111246026886834,0.9562962962962963,0.2391198865075906,0.9198333333333333
cnn,A,13,4.322727117869951e-05,0.10916104330619177,0.9607407407407408,0.22815559826294582,0.9195
cnn,A,14,1.0926199633097156e-05,0.10166759735676978,0.9642037037037037,0.2187159066994985,0.9266666666666666
cnn,A,15,0.0,0.0962962987113882,0.9662037037037037,0.22245827206969263,0.9273333333333333
cnn,B,1,0.0009890738003669028,0.5491232389476565,0.796037037037037,0.3607338800430298,0.8696666666666667
cnn,B,2,0.0009567727288213003,0.31409965868349426,0.8827592592592592,0.30868075899283093,0.8871666666666667
cnn,B,3,0.0009045084971874737,0.257818136745029,0.905074074074074,0.26387564281622566,0.9043333333333333
cnn,B,4,0.0008345653031794292,0.22542337222011,0.9173888888888889,0.2684842876593272,0.9001666666666667
cnn,B,5,0.00075,0.20154312347261993,0.9254259259259259,0.2509995450576146,0.906
cnn,B,6,0.0006545084971874737,0.18009605796469583,0.9326851851851852,0.2053061013817787,0.9276666666666666
cnn,B,7,0.0005522642316338268,0.1585218060369845,0.9407777777777778,0.2026349229812622,0.926
cnn,B,8,0.0004477357683661734,0.14078852716860948,0.9488148148148148,0.2021047853430112,0.9286666666666666
cnn,B,9,0.0003454915028125264,0.12329179583876221,0.954925925925926,0.21591325189669927,0.9243333333333333
cnn,B,10,0.0002500000000000001,0.10482093384089293,0.9610925925925926,0.1918056667049726,0.9346666666666666
cnn,B,11,0.00016543469682057103,0.09009022283333319,0.9662962962962963,0.1970089466869831,0.9385
cnn,B,12,9.549150281252631e-05,0.0765999991165267,0.9724444444444444,0.20587188840905826,0.9363333333333334
cnn,B,13,4.322727117869951e-05,0.06562613905359198,0.9770925925925926,0.20489428423841793,0.9365
cnn,B,14,1.0926199633097156e-05,0.0589822486727326,0.9798888888888889,0.20422112024823824,0.9395
cnn,B,15,0.0,0.05515508618178191,0.9815555555555555,0.2093379220167796,0.9375
mlp,A,1,0.0009890738003669028,1.262131233127029,0.49827777777777776,0.9613405419985454,0.6253333333333333
mlp,A,2,0.0009567727288213003,0.9020557990074157,0.6441111111111111,0.851981677532196,0.6613333333333333
mlp,A,3,0.0009045084971874737,0.7907919233463429,0.6876851851851852,0.8018932197888692,0.6813333333333333
mlp,A,4,0.0008345653031794292,0.732944791511253,0.7096666666666667,0.7786548431714376,0.6888333333333333
mlp,A,5,0.00075,0.6852977955606249,0.727037037037037,0.7610427765846253,0.6998333333333333
mlp,A,6,0.0006545084971874737,0.6439919479688009,0.7445185185185185,0.7611942591667176,0.7035
mlp,A,7,0.0005522642316338268,0.6091159021766097,0.7568888888888889,0.7662420636812846,0.7018333333333333
mlp,A,8,0.0004477357683661734,0.5747357497215271,0.7722777777777777,0.74080304702123,0.7086666666666667
mlp,A,9,0.0003454915028125264,0.5392493746015761,0.7847962962962963,0.7453605171839396,0.7165
mlp,A,10,0.0002500000000000001,0.5126280724030954,0.7948333333333333,0.7606371709505717,0.7153333333333334
mlp,A,11,0.00016543469682057103,0.4863506021499634,0.8068703703703703,0.7568060013453166,0.7173333333333334
