epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,0.0009890738003669028,0.9806703412444503,0.6143333333333333,0.6283914755185445,0.7545
2,0.0009567727288213003,0.5949350512116044,0.7803703703703704,0.5454490811824798,0.8015
3,0.0009045084971874737,0.51371478066621,0.8123703703703704,0.4981849661668142,0.818
4,0.0008345653031794292,0.47079260618598373,0.8261851851851851,0.44281511028607684,0.8365
5,0.00075,0.4415233663188087,0.8371666666666666,0.4221657673517863,0.8453333333333334
6,0.0006545084971874737,0.4189453238469583,0.8460925925925926,0.4389836997191111,0.8413333333333334
7,0.0005522642316338268,0.39812404501879656,0.8526296296296296,0.39583766102790835,0.8543333333333333
8,0.0004477357683661734,0.3816871039602492,0.857462962962963,0.3753968737522761,0.8633333333333333
9,0.0003454915028125264,0.36499480662522493,0.8640185185185185,0.36824756689866384,0.8641666666666666
10,0.0002500000000000001,0.34900991165196454,0.8694444444444445,0.3668819049994151,0.8651666666666666
11,0.00016543469682057103,0.3340588837994469,0.8742037037037037,0.35852980144818625,0.8701666666666666
12,9.549150281252631e-05,0.321440754448926,0.8787037037037037,0.3542101882696152,0.8731666666666666
13,4.322727117869951e-05,0.31107322534808407,0.8828148148148148,0.35662584225336713,0.8708333333333333
14,1.0926199633097156e-05,0.3046381101961489,0.8842037037037037,0.34614794166882834,0.8718333333333333
15,0.0,0.29914497500878795,0.8867592592592592,0.3443321802218755,0.8738333333333334
