epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,0.0009890738003669028,1.2419164034525554,0.5072407407407408,0.9002317112286885,0.6505
2,0.0009567727288213003,0.8906372856387386,0.6528333333333334,0.7893893248240152,0.6976666666666667
3,0.0009045084971874737,0.8089813286640026,0.6863518518518519,0.7526444072723388,0.7
4,0.0008345653031794292,0.7685137040350172,0.7022407407407407,0.7234467919667562,0.7058333333333333
5,0.00075,0.7228017208487899,0.7237037037037037,0.6836642661094665,0.7418333333333333
6,0.0006545084971874737,0.6933620638494138,0.7370740740740741,0.6701685927708944,0.7493333333333333
7,0.0005522642316338268,0.6636905803857026,0.7455925925925926,0.6543949926694235,0.7525
8,0.0004477357683661734,0.6295544769322431,0.759537037037037,0.5980314701398214,0.7725
9,0.0003454915028125264,0.5988327524926927,0.769,0.6056272978782654,0.7698333333333334
10,0.0002500000000000001,0.5730929089828773,0.7788333333333334,0.589191077709198,0.78
11,0.00016543469682057103,0.5464016571133226,0.7898703703703703,0.572787109375,0.7866666666666666
12,9.549150281252631e-05,0.5240784400039249,0.798537037037037,0.5492217586835225,0.7948333333333333
13,4.322727117869951e-05,0.5053991565174527,0.8048333333333333,0.5399463885625203,0.8005
14,1.0926199633097156e-05,0.4933276314028987,0.8107407407407408,0.5434306948979696,0.7965
15,0.0,0.4858812302660059,0.8135925925925926,0.5323113615512848,0.8018333333333333
